id,name,createdAt,updatedAt
tag1,shopware,2024-01-01 00:00:00.000,2024-01-01 00:00:00.000
tag2,vectorization,2025-01-26 00:00:00.000,2025-07-26 10:14:38.789
tag3,optimized,2025-01-26 00:00:00.000,2025-07-26 10:14:38.792
tag4,upsert,2025-01-26 00:00:00.000,2025-07-26 10:14:38.792
